questionNumber;category;question;answer1;answer2;answer3;correctAnswerIndex;imageFileName
1;;Según la Organización Mundial de la Salud, la siguiente problemática es categorizada como “pandemia” ya que constituye la décima causa de muerte en todo el mundo;Verdadero;Falso;;0;
2;;Según las últimas estadísticas del Observatorio Vial de la Ciudad de Bs. As., ¿Cuál es el rango etario con mayor número de víctimas lesionadas y fatales en siniestros viales?;Niños menores de 15 años;Jóvenes y adultos de 15 a 34 años;Adultos mayores de 35 años;1;
3;;Según las últimas estadísticas del Observatorio Vial de la Ciudad de Bs. As., la tasa más alta de víctimas fatales como consecuencia de incidentes de tránsito (luego de los peatones) son los usuarios de:;Opción A;Opción B;Opción C;1;
4;;La Organización Mundial de la Salud manifiesta que el riesgo en la vía pública surge como resultado de diversos factores, ¿Cuáles son?;Vehicular y Ambiental;Humano y Vehicular;Humano, Vehicular y Ambiental;2;
5;;¿A qué factor se deben la mayoría de los siniestros viales?;Al humano;Al vehicular;Al ambiental;0;
6;;A fin de aumentar la propia seguridad y la de los demás, ¿a qué se debería poner atención durante la circulación?;Al estado del pavimento y al clima, en especial;A las condiciones en que se encuentran: el automóvil, la infraestructura vial, las condiciones climáticas y el conductor;Ninguna de las anteriores;1;
7;;El factor ambiental es el principal factor de riesgo ya que las colisiones, en su mayoría, se deben a las condiciones meteorológicas o del camino;Verdadero;Falso;;1;
8;;Por lo general, las fallas mecánicas se deben a conductas negligentes por parte de los propietarios de los vehículos, que no se ocupan de la verificación del estado de su automóvil;Verdadero;Falso;;0;
9;;¿A qué se denomina incidente de tránsito o incidente vial?;Hecho que puede ser evitado, en el cual se produce daño a persona o cosa, en ocasión de circulación en la vía pública;Hecho impredecible e inevitable en ocasión de circulación en la vía pública;Hecho, evitable o no, que involucra daños a terceros;0;
10;;¿De qué se trata el “Programa Visión Cero” creado en 1997 en Suecia?;"Principio ético que establece que no debería existir ningún vehículo particular circulando por calles, ni avenidas urbanas ya que son los causantes de las víctimas fatales en siniestros de tránsito";Principio ético que establece que nadie debería morir ni sufrir lesiones permanentes en siniestros de tránsito;Principio ético que busca mejorar la velocidad en el tránsito, al no encontrarse con imprevistos en la vía;1;
